record_id,state,lga,year,month,rainfall_mm,temperature_avg_c,vegetation_index,season,intervention_flag,reporting_completeness_pct,timeliness_pct,source,total_cases,symptomatic_cases,asymptomatic_cases,cases_under5,cases_5to15,cases_15plus,suspected_cases,tested_cases,positive_cases,rd_t_positive,microscopy_positive,pcr_positive,predicted_cases_lower_ci,predicted_cases_upper_ci
1,Bayelsa,Bayelsa_LGA1,2023,2,25.50778653,28.16527814,0.363768885,harmattan,1,75.11194568,52.52420028,routine,1857.031365,1474.434531,897.1570423,1040.707355,2192.771943,3115.885038,4359.623688,3815.304872,5063.175399,3037.90524,1518.95262,506.3175399,1114.218819,2599.843911
2,Cross River,Cross River_LGA3,2025,7,366.0752334,28.98664164,0.62179604,rainy,0,75.04111561,48.42979393,routine,29120.05621,32435.8873,14305.46616,29540.63674,34260.01264,72122.26554,117740.978,81598.45738,86849.16892,52109.50135,26054.75068,8684.916892,17472.03372,40768.07869
3,Delta,Delta_LGA1,2023,2,17.09601529,27.87291672,0.311450388,harmattan,1,61.13737732,79.39487994,routine,2475.110869,2345.250666,1305.651086,1462.0347,1855.468918,4271.826705,5320.248716,3711.934013,4829.427595,2897.656557,1448.828278,482.9427595,1485.066522,3465.155217
4,Anambra,Anambra_LGA2,2025,12,8.506243184,24.15810416,0.316238569,harmattan,0,86.7523996,24.38064478,survey,1004.422205,1101.714511,496.3533916,1483.323033,2247.939489,3255.446561,6616.58414,4848.910226,4745.467985,2847.280791,1423.640395,474.5467985,602.6533231,1406.191087
5,Akwa Ibom,Akwa Ibom_LGA2,2020,10,223.5153597,27.86345887,0.605370822,rainy,0,38.68555137,60.01402877,routine,8631.764612,12878.05268,7229.655187,18850.3958,20438.19008,41871.5038,51887.09707,25117.78255,35687.98266,21412.7896,10706.3948,3568.798266,5179.058767,12084.47046
6,Abia,Abia_LGA2,2018,11,24.47459283,30.5484117,0.414844813,dry,0,70.34335238,32.93744244,sentinel,1421.188196,1948.888553,928.2804052,2140.062189,3780.352628,6347.346268,11603.08712,6903.643528,6764.447326,4058.668395,2029.334198,676.4447326,852.7129175,1989.663474
7,Akwa Ibom,Akwa Ibom_LGA1,2019,2,15.60559226,27.45171747,0.364678825,harmattan,0,68.07169229,50.11518692,routine,2403.042941,2823.250035,1518.376297,2817.913687,3580.894707,5785.891126,9639.60386,6635.464931,7695.159845,4617.095907,2308.547953,769.5159845,1441.825764,3364.260117
8,Cross River,Cross River_LGA2,2023,9,403.9386776,30.44135014,0.584991064,rainy,0,57.14478096,42.10510013,routine,16283.23609,21809.50994,12146.93336,23384.98481,37415.47572,80606.16888,129781.8761,64645.20691,65157.66096,39094.59658,19547.29829,6515.766096,9769.941652,22796.53052
9,Cross River,Cross River_LGA2,2019,2,50.39202816,27.14261036,0.41316227,harmattan,0,63.01461005,59.47556412,routine,2645.139127,3567.293649,1816.520317,2401.594696,4202.086392,7979.427796,12979.0047,7351.591358,7627.461613,4576.476968,2288.238484,762.7461613,1587.083476,3703.194778
10,Bayelsa,Bayelsa_LGA2,2023,5,388.0343829,27.94140683,0.723812713,rainy,0,77.99695624,37.71878668,routine,14082.04592,9111.080797,7283.222729,12600.5941,16473.02103,30664.29539,43495.55683,37275.00155,46775.66355,28065.39813,14032.69907,4677.566355,8449.227551,19714.86429
11,Cross River,Cross River_LGA2,2023,5,335.9344667,30.90129074,0.701974652,rainy,0,66.71406071,57.17091042,routine,18923.48667,18985.93475,11939.64825,17868.11721,20927.53273,38639.01107,60799.6682,41327.8454,48272.36631,28963.41978,14481.70989,4827.236631,11354.092,26492.88134
12,Abia,Abia_LGA3,2021,1,23.59145557,24.15440738,0.325180721,harmattan,0,60.29637073,38.36436877,routine,952.9457789,1201.135215,520.0176028,1420.06474,2469.904874,3897.945744,6553.788864,3756.664253,4109.142213,2465.485328,1232.742664,410.9142213,571.7674673,1334.12409
13,Anambra,Anambra_LGA1,2022,4,327.0723536,24.78737951,0.771638147,rainy,0,53.42186548,70.22384994,routine,13900.23301,23098.22222,8747.887651,15716.06511,28067.50564,37173.92928,70048.54511,34599.20541,36865.06461,22119.03876,11059.51938,3686.506461,8340.139809,19460.32622
