state,lga,year,month,rainfall_mm,temperature_avg_c,vegetation_index,season,intervention_flag,reporting_completeness_pct,timeliness_pct,total_cases
Bayelsa,Bayelsa_LGA1,2023,2,25.50778653,28.16527814,0.363768885,harmattan,1,75.11194568,52.52420028,1857.031365
Cross River,Cross River_LGA3,2025,7,366.0752334,28.98664164,0.62179604,rainy,0,75.04111561,48.42979393,29120.05621
Delta,Delta_LGA1,2023,2,17.09601529,27.87291672,0.311450388,harmattan,1,61.13737732,79.39487994,2475.110869
Anambra,Anambra_LGA2,2025,12,8.506243184,24.15810416,0.316238569,harmattan,0,86.7523996,24.38064478,1004.422205
Akwa Ibom,Akwa Ibom_LGA2,2020,10,223.5153597,27.86345887,0.605370822,rainy,0,38.68555137,60.01402877,8631.764612
Abia,Abia_LGA2,2018,11,24.47459283,30.5484117,0.414844813,dry,0,70.34335238,32.93744244,1421.188196
Akwa Ibom,Akwa Ibom_LGA1,2019,2,15.60559226,27.45171747,0.364678825,harmattan,0,68.07169229,50.11518692,2403.042941
Cross River,Cross River_LGA2,2023,9,403.9386776,30.44135014,0.584991064,rainy,0,57.14478096,42.10510013,16283.23609
Cross River,Cross River_LGA2,2019,2,50.39202816,27.14261036,0.41316227,harmattan,0,63.01461005,59.47556412,2645.139127
Bayelsa,Bayelsa_LGA2,2023,5,388.0343829,27.94140683,0.723812713,rainy,0,77.99695624,37.71878668,14082.04592
Cross River,Cross River_LGA2,2023,5,335.9344667,30.90129074,0.701974652,rainy,0,66.71406071,57.17091042,18923.48667
Abia,Abia_LGA3,2021,1,23.59145557,24.15440738,0.325180721,harmattan,0,60.29637073,38.36436877,952.9457789
Anambra,Anambra_LGA1,2022,4,327.0723536,24.78737951,0.771638147,rainy,0,53.42186548,70.22384994,13900.23301
Akwa Ibom,Akwa Ibom_LGA3,2020,3,33.84123421,29.79228716,0.364700968,dry,0,53.39617315,44.23350696,1507.316613
Ebonyi,Ebonyi_LGA2,2021,10,220.1321896,25.45470368,0.660055504,rainy,0,63.0660796,73.83262289,9315.639067
Ekiti,Ekiti_LGA1,2025,4,259.8146356,29.37277336,0.612913788,rainy,1,66.06430309,78.2490214,12137.542
Anambra,Anambra_LGA3,2019,6,358.4507387,28.5348486,0.819307644,rainy,0,54.26567501,66.28069075,22092.7365
Edo,Edo_LGA2,2025,4,304.020515,26.18788221,0.782612235,rainy,1,37.79086632,78.97333359,3446.106853
Benue,Benue_LGA1,2019,5,280.3582281,27.0748092,0.6696043,rainy,0,53.97781088,48.24598404,12390.79362
Anambra,Anambra_LGA3,2020,5,381.4583349,26.69669894,0.780433741,rainy,0,48.0882914,70.44922736,13702.34739
Anambra,Anambra_LGA1,2023,3,27.07610018,26.87603032,0.295075601,dry,0,63.39607369,44.05936926,3021.863555
Ebonyi,Ebonyi_LGA2,2024,2,24.89388289,26.23531673,0.297552601,harmattan,0,54.90778512,51.51624011,1827.207866
Anambra,Anambra_LGA3,2023,2,31.55679505,24.97348453,0.318218188,harmattan,0,71.15132264,46.44567577,2836.241832
Akwa Ibom,Akwa Ibom_LGA1,2023,7,261.2507759,27.87296554,0.578455,rainy,0,50.09859739,31.76573037,4228.347023
Jigawa,Jigawa_LGA2,2023,4,329.8685025,28.5337425,0.589545139,rainy,0,56.73695032,35.74814047,9323.680821
Adamawa,Adamawa_LGA3,2019,10,298.5543115,24.99929159,0.720924981,rainy,0,67.72614231,45.94888042,7385.870659
Gombe,Gombe_LGA1,2020,11,89.49715608,30.15686987,0.431900998,dry,0,57.749568,41.62287596,2373.725226
Adamawa,Adamawa_LGA1,2021,10,315.964808,28.32446168,0.734840681,rainy,1,53.87329124,68.97887441,6379.759787
Jigawa,Jigawa_LGA1,2024,5,388.2449578,28.66399156,0.771018155,rainy,0,53.26715936,76.1994248,13076.59416
Adamawa,Adamawa_LGA3,2018,7,272.7987629,28.11174531,0.713832372,rainy,1,52.41724258,35.67372086,3910.752755
Benue,Benue_LGA3,2021,7,357.573431,28.62536774,0.630458608,rainy,0,62.40802243,33.65802866,9339.423808
Adamawa,Adamawa_LGA2,2018,10,316.6550592,28.25275396,0.855997079,rainy,1,70.21210227,37.25784395,2947.051937
Jigawa,Jigawa_LGA3,2021,7,351.9696168,27.83661844,0.562353533,rainy,1,55.92764145,65.14787694,11081.87694
Jigawa,Jigawa_LGA3,2023,7,393.6070504,28.79146714,0.71705161,rainy,0,68.8823834,38.8320482,16429.34322
Benue,Benue_LGA1,2020,4,411.0925092,27.75242565,0.758159079,rainy,0,50.28615633,56.23924005,12451.48055
Cross River,Cross River_LGA3,2019,8,292.7382508,28.00890925,0.533485308,rainy,0,59.41849899,75.30600092,21844.5473
